#           k/h    P           
   0.425066E+02   0.391367E+00
   0.433653E+02   0.374248E+00
   0.442413E+02   0.357873E+00
   0.451350E+02   0.342211E+00
   0.460469E+02   0.327230E+00
   0.469770E+02   0.312901E+00
   0.479261E+02   0.299197E+00
   0.488942E+02   0.286090E+00
   0.498820E+02   0.273554E+00
   0.508896E+02   0.261565E+00
   0.519177E+02   0.250098E+00
   0.529665E+02   0.239132E+00
   0.540365E+02   0.228645E+00
   0.551281E+02   0.218616E+00
   0.562417E+02   0.209025E+00
   0.573779E+02   0.199852E+00
   0.585370E+02   0.191081E+00
   0.597195E+02   0.182693E+00
   0.609260E+02   0.174672E+00
   0.621568E+02   0.167001E+00
   0.634124E+02   0.159667E+00
   0.646934E+02   0.152653E+00
   0.660003E+02   0.145946E+00
   0.673336E+02   0.139533E+00
   0.686938E+02   0.133401E+00
   0.700816E+02   0.127538E+00
   0.714973E+02   0.121931E+00
   0.729416E+02   0.116570E+00
   0.744151E+02   0.111444E+00
   0.759184E+02   0.106543E+00
   0.774521E+02   0.101857E+00
   0.790167E+02   0.973769E-01
   0.806129E+02   0.930930E-01
   0.822415E+02   0.889970E-01
   0.839028E+02   0.850807E-01
   0.855978E+02   0.813364E-01
   0.873269E+02   0.777563E-01
   0.890911E+02   0.743335E-01
   0.908908E+02   0.710609E-01
   0.927270E+02   0.679320E-01
   0.946001E+02   0.649406E-01
   0.965112E+02   0.620806E-01
   0.984608E+02   0.593463E-01
   0.100450E+03   0.567322E-01
   0.102479E+03   0.542331E-01
   0.104549E+03   0.518440E-01
   0.106661E+03   0.495601E-01
   0.108816E+03   0.473767E-01
   0.111014E+03   0.452894E-01
